id,TYPE,NO,NAME,EN_NAME,UnitPrice,Density
7f9dbbf0-6995-11ee-ab2d-ac82472e843d,MAT,148,磷青铜,磷青铜,100,8900
7f9ded06-6995-11ee-ab2d-ac82472e843d,MAT,149,工业纯钛TA2,工业纯钛TA2,135,4430
7f9e1f3b-6995-11ee-ab2d-ac82472e843d,MAT,150,工业纯钛TA2棒料,工业纯钛TA2棒料,190,4430
7f9e5034-6995-11ee-ab2d-ac82472e843d,MAT,151,钛合金-TC4板材,钛合金-TC4板材,200,4430
7f9e8561-6995-11ee-ab2d-ac82472e843d,MAT,152,钛合金-TC4棒材,钛合金-TC4棒材,210,4430
7f9eb5a8-6995-11ee-ab2d-ac82472e843d,MAT,153,本色PPS板,本色PPS板,220,1400
7f9ee63c-6995-11ee-ab2d-ac82472e843d,MAT,154,CuCo2Be,CuCo2Be,400,8960
7f9f190d-6995-11ee-ab2d-ac82472e843d,MAT,155,G15合金,G15合金,700,14500
7f9f4c24-6995-11ee-ab2d-ac82472e843d,MAT,156,鉬合金,鉬合金,800,10900
7f9f7f41-6995-11ee-ab2d-ac82472e843d,MAT,157,聚醚醚酮-PEEK,聚醚醚酮-PEEK,1000,1330
7f9fb905-6995-11ee-ab2d-ac82472e843d,MAT,158,全新料本色PEEK板,全新料本色PEEK板,1200,1450
8caa3b1e-c50b-11ee-ac9a-ac82472e843d,SURR,1,无,None,0,0
8cabb748-c50b-11ee-ac9a-ac82472e843d,SURR,1,0.4,0.4,0.4,0
8cac2c82-c50b-11ee-ac9a-ac82472e843d,SURR,1,0.8,0.8,0.8,0
8cac6808-c50b-11ee-ac9a-ac82472e843d,SURR,1,1.6,1.6,1.6,0
8caca241-c50b-11ee-ac9a-ac82472e843d,SURR,1,2.5,2.5,2.5,0
8cacd838-c50b-11ee-ac9a-ac82472e843d,SURR,1,3.2,3.2,3.2,0
8cad0cfa-c50b-11ee-ac9a-ac82472e843d,SURR,1,6.3,6.3,6.3,0
8cad45a3-c50b-11ee-ac9a-ac82472e843d,SURR,1,12.5,12.5,12.5,0
900ee59d-d926-4691-b00e-ddf4a8238f30,DIM,0,无,None,0,0
a316f3e4-806d-42e6-b644-ab0d8240d1a9,GEO,1,GB/T1184-H,GB/T1184-H,0,0
ad1f7d41-6996-11ee-ab2d-ac82472e843d,SUR,0,无,无,0,0
ad1ff06a-6996-11ee-ab2d-ac82472e843d,SUR,1,发黑,发黑,5,2
ad203d7a-6996-11ee-ab2d-ac82472e843d,SUR,2,烤漆,烤漆,5,2
ad20755f-6996-11ee-ab2d-ac82472e843d,SUR,3,喷粉,喷粉,5,3
ad20b3a3-6996-11ee-ab2d-ac82472e843d,SUR,4,钝化,钝化,5,10
ad20e4c9-6996-11ee-ab2d-ac82472e843d,SUR,5,拉丝,拉丝,5,2
ad211625-6996-11ee-ab2d-ac82472e843d,SUR,6,电解抛光,电解抛光,5,10
ad2147c9-6996-11ee-ab2d-ac82472e843d,SUR,7,烤漆1,烤漆1,5,30
ad217b40-6996-11ee-ab2d-ac82472e843d,SUR,8,镀铬,镀铬,7,3
ad21ac67-6996-11ee-ab2d-ac82472e843d,SUR,9,镀锌,镀锌,7,2
ad21dd2b-6996-11ee-ab2d-ac82472e843d,SUR,10,镀彩锌,镀彩锌,7,2
ad221161-6996-11ee-ab2d-ac82472e843d,SUR,11,镀镍,镀镍,10,5
ad224196-6996-11ee-ab2d-ac82472e843d,SUR,12,磷酸盐皮膜处理,磷酸盐皮膜处理,10,2
